,ADCTemp_Tenths,CellTotalHeater_mA,CoolDmd,DUTX_A,DUTY_A,DriveFan_Dmd,DriveFan_MeasuredRPM,DriveSupplyX_A,DriveSupplyX_V,DriveSupplyY_A,DriveSupplyY_V,ElectronicsFan_MeasuredRPM_1,ElectronicsFan_MeasuredRPM_2,FTemp,FlowTemp_Tenths,HeatDmd,Input_A,TargetTempRateControlled,TargetTemp_Tenths,Volts24v,dmd_I,dmd_P,Output,,
ADCTemp_Tenths,,-0.044293483,0.134577723,-0.077819068,-0.023384385,-0.198273941,0.251891991,-0.077955363,0.156598895,-0.023294055,0.153078024,0.021571907,-0.123039139,0.377055307,0.394452533,0.030500809,-0.09733554,0.383236424,-0.162289646,0.087598151,-0.20880593,-0.100858585,0.417571709,,
CellTotalHeater_mA,-0.044293483,,-0.162331982,-0.294487984,0.222056459,0.284863047,0.074316539,-0.294321495,0.149263588,0.221903155,0.152218326,-0.018402954,-0.076230528,-0.424729518,-0.477732598,0.306827075,0.578798186,-0.551446591,0.300406436,-0.65611562,0.094103485,-0.028886343,-0.550180513,,
CoolDmd,0.134577723,-0.162331982,,-0.483122153,-0.629224096,-0.56552757,-0.345951539,-0.483277628,-0.636678554,-0.629072207,-0.637978856,-0.153580194,0.641885143,-0.302483007,-0.282396072,-0.745695299,-0.580846496,-0.245819486,-0.908620429,0.381101475,-0.737773509,-0.39418217,-0.051281389,,
DUTX_A,-0.077819068,-0.294487984,-0.483122153,,0.68028441,0.391024018,0.507204415,0.999999557,0.639159436,0.680209972,0.63996103,0.177517448,-0.320828,0.623184846,0.492166612,-0.057915737,0.502990534,0.42480491,0.198601606,0.158112871,-0.03057672,0.049112657,0.030866473,,
DUTY_A,-0.023384385,0.222056459,-0.629224096,0.68028441,,0.659859735,0.678225875,0.680560253,0.897819451,0.999997897,0.89573845,0.210683538,-0.437897685,0.426856803,0.231452081,0.22951326,0.628273397,0.08713174,0.380530518,-0.226004357,-0.003616459,-0.013150689,-0.099864668,,
DriveFan_Dmd,-0.198273941,0.284863047,-0.56552757,0.391024018,0.659859735,,0.436030714,0.391337145,0.579787305,0.659658764,0.580461597,-0.09226202,-0.351042218,0.164758516,0.052868836,0.217618898,0.546510495,-0.038619845,0.464367051,-0.301109434,0.160003319,-0.005193899,-0.146394895,,
DriveFan_MeasuredRPM,0.251891991,0.074316539,-0.345951539,0.507204415,0.678225875,0.436030714,,0.507375005,0.792258473,0.678195641,0.78935887,0.177810256,-0.223728014,0.602467238,0.456328296,0.123049183,0.309705731,0.337354008,0.106946762,0.023576522,-0.209262645,-0.119376646,0.23417756,,
DriveSupplyX_A,-0.077955363,-0.294321495,-0.483277628,0.999999557,0.680560253,0.391337145,0.507375005,,0.639403101,0.680485691,0.640203243,0.177590909,-0.320843329,0.623171232,0.492092627,-0.057835674,0.503088764,0.424682314,0.198712279,0.15801552,-0.030587904,0.049156834,0.030843833,,
DriveSupplyX_V,0.156598895,0.149263588,-0.636678554,0.639159436,0.897819451,0.579787305,0.792258473,0.639403101,,0.897732954,0.999693938,0.303101249,-0.488483259,0.700441957,0.551756446,0.356407199,0.533965315,0.413336465,0.400133856,-0.172744069,-0.002492299,-0.104368204,0.250656552,,
DriveSupplyY_A,-0.023294055,0.221903155,-0.629072207,0.680209972,0.999997897,0.659658764,0.678195641,0.680485691,0.897732954,,0.895649533,0.210795348,-0.4380068,0.426833609,0.231431734,0.229325674,0.628035285,0.087121164,0.380276037,-0.225799504,-0.003788582,-0.012980295,-0.099896016,,
DriveSupplyY_V,0.153078024,0.152218326,-0.637978856,0.63996103,0.89573845,0.580461597,0.78935887,0.640203243,0.999693938,0.895649533,,0.310949656,-0.486044909,0.702034022,0.554816301,0.355678326,0.539065224,0.416487921,0.403306954,-0.174031177,-0.001681363,-0.109144991,0.250362039,,
ElectronicsFan_MeasuredRPM_1,0.021571907,-0.018402954,-0.153580194,0.177517448,0.210683538,-0.09226202,0.177810256,0.177590909,0.303101249,0.210795348,0.310949656,,-0.049417941,0.325841148,0.318414403,0.152907848,0.093646793,0.284432963,0.11467811,-0.014611394,-0.01015552,-0.0856155,0.20633748,,
ElectronicsFan_MeasuredRPM_2,-0.123039139,-0.076230528,0.641885143,-0.320828,-0.437897685,-0.351042218,-0.223728014,-0.320843329,-0.488483259,-0.4380068,-0.486044909,-0.049417941,,-0.340284326,-0.336016219,-0.579224807,-0.384626679,-0.302217888,-0.563835215,0.421324037,-0.467324175,-0.125260637,-0.171625913,,
FTemp,0.377055307,-0.424729518,-0.302483007,0.623184846,0.426856803,0.164758516,0.602467238,0.623171232,0.700441957,0.426833609,0.702034022,0.325841148,-0.340284326,,0.966317996,0.133628853,0.103988245,0.912599714,0.077531675,0.259111892,-0.130418296,-0.187176337,0.726878233,,
FlowTemp_Tenths,0.394452533,-0.477732598,-0.282396072,0.492166612,0.231452081,0.052868836,0.456328296,0.492092627,0.551756446,0.231431734,0.554816301,0.318414403,-0.336016219,0.966317996,,0.210820433,0.009437422,0.984195349,0.125615038,0.276775664,-0.003232028,-0.150077214,0.815147116,,
HeatDmd,0.030500809,0.306827075,-0.745695299,-0.057915737,0.22951326,0.217618898,0.123049183,-0.057835674,0.356407199,0.229325674,0.355678326,0.152907848,-0.579224807,0.133628853,0.210820433,,0.301424927,0.213756061,0.828299192,-0.552600999,0.819058334,0.305618149,0.215427439,,
Input_A,-0.09733554,0.578798186,-0.580846496,0.502990534,0.628273397,0.546510495,0.309705731,0.503088764,0.533965315,0.628035285,0.539065224,0.093646793,-0.384626679,0.103988245,0.009437422,0.301424927,,-0.077387404,0.526079071,-0.464265142,0.227788396,0.006764814,-0.419195621,,
TargetTempRateControlled,0.383236424,-0.551446591,-0.245819486,0.42480491,0.08713174,-0.038619845,0.337354008,0.424682314,0.413336465,0.087121164,0.416487921,0.284432963,-0.302217888,0.912599714,0.984195349,0.213756061,-0.077387404,,0.120556506,0.314530919,0.069645488,-0.071740245,0.840157882,,
