Feature,Importance
FTemp,0.1887933031347574
FlowTemp_Tenths,0.1819205562659847
TargetTempRateControlled,0.12090295384394766
CellTotalHeater_mA,0.10345183477735247
DriveSupplyX_V,0.0628209809095226
TargetTemp_Tenths,0.04511979118425717
DriveSupplyY_V,0.04433447368681628
DriveSupplyY_A,0.04211288810846569
CoolDmd,0.04028565176779142
ADCTemp_Tenths,0.03640551256755701
Input_A,0.03237362731350826
DUTY_A,0.02413273798482685
dmd_P,0.019127339121147172
dmd_I,0.01644017094017094
HeatDmd,0.013501150529312587
DUTX_A,0.010302432610124923
Volts24v,0.009951759308484456
ElectronicsFan_MeasuredRPM_2,0.005848922902494332
DriveFan_Dmd,0.0021739130434782605
DriveSupplyX_A,0.0
DriveFan_MeasuredRPM,0.0
ElectronicsFan_MeasuredRPM_1,0.0
